"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2009,367,"Lou","Adam Froman",7,61,83.94915282,11.9927361171429,1.37621562,0,0,0,0,NA,0,0,"QB",136.471186892,185,119.46610209,0.392378991519673,1457.27119126,208.181598751429,12.1981981981982,6.45762714,4.64566927597495,18.5826771038998,-96.629920940279,"91","Louisville",12,789,4314.77120071,5.4686580490621,27.98305094,359.564266725833,4.30508476,7.43307084155992,0,0.57627119,94,NA
2010,367,"Lou","Adam Froman",8,36,2.82558141,0.35319767625,0.0784883725,1.88372094,0,0,0,NA,0,0,"QB",128.563954155,218,124.32558204,0.363179349025317,1538.05814751,192.25726843875,12.3712121212121,10.36046517,4.24691355822588,10.6172838955647,-74.3209872689529,"71","Louisville",13,835,4518.10467459,5.41090380190419,40.50000021,347.54651343,6.59302329,6.37037033733882,0,0.44186047,94,NA
2003,193,"Duke","Adam Smith",7,21,-18.8571429,-2.69387755714286,-0.897959185714286,2.0952381,0,0,0,NA,0,0,"QB",107.69523834,94,51.33333345,0.353211009693523,511.2380964,73.0340137714286,9.95918367346939,2.0952381,0,7.63636361900826,-59.1818180473141,"85","Duke",12,906,4312.0000098,4.75938190927152,26.19047625,359.33333415,4.1904762,7.63636361900826,0,0.54761905,115,NA
2007,428,"Minn","Adam Weber",12,146,664.65447009,55.3878725075,4.55242787732877,5.38617885,0,0,0,NA,0,0,"QB",130.130081016,449,277.92682866,0.382331230190422,3118.59755415,259.8831295125,11.2209302325581,25.85365848,17.6377358876599,12.9962264435389,-82.6188681053545,"48","Minnesota",12,887,5267.6829153,5.93876315140925,45.24390234,438.973576275,1.07723577,10.2113207770663,0,0.57723577,118,NA
2008,428,"Minn","Adam Weber",13,127,227.62307764,17.5094675107692,1.79230769795276,3.90769232,0,0,0,NA,0,0,"QB",123.971538852,410,249.1153854,0.377954135069717,2697.28462388,207.483432606154,10.8274509803922,14.6538462,8.1889763521607,31.7322833646227,-208.818896980098,"91","Minnesota",13,851,4101.12308984,4.81918106914219,37.12307704,315.471006910769,6.83846156,6.14173226412053,0,0.47692308,118,NA
2009,428,"Minn","Adam Weber",13,73,-142.64503764,-10.9726952030769,-1.95404161150685,1.07251908,0,0,0,NA,0,0,"QB",123.017938476,367,204.85114428,0.35822459451038,2769.24426456,213.018789581538,13.5183246073298,13.94274804,13.9857651763174,34.4982207682496,-221.907474130903,"109","Minnesota",13,815,4272.91601472,5.24284173585276,35.39312964,328.685847286154,6.43511448,6.5266904156148,0,0.57251908,118,NA
2010,428,"Minn","Adam Weber",12,52,26.6341464,2.2195122,0.512195123076923,0,0,0,0,NA,0,0,"QB",144.15731739,368,227.5000005,0.382031906480242,2973.0365919,247.753049325,13.0682926829268,22.195122,8.10989009206618,15.3186812850139,-111.73626349069,"77","Minnesota",12,825,4811.9024496,5.83260902981818,38.8414635,400.9918708,3.3292683,8.10989009206618,0,0.6097561,118,NA
2010,8,"Ala","AJ McCarron",9,6,-22.1538462,-2.46153846666667,-3.6923077,0,0,0,0,NA,0,0,"QB",167.483077272,48,33.2307693,0.409090909594525,430.89230859,47.8769231766667,12.9666666666667,3.32307693,0,1.80555555179398,-16.2499999661458,"22","Alabama",13,829,6394.70770563,7.71376080293124,64.24615398,491.900592740769,11.0769231,2.70833332769097,0,0.60769231,155,NA
2011,8,"Ala","AJ McCarron",13,30,-24.30232552,-1.86940965538462,-0.810077517333333,2.20930232,0,0,0,NA,0,0,"QB",162.715115868,328,241.91860404,0.424479219181658,2909.65115544,223.819319649231,12.027397260274,17.67441856,4.52631580090859,11.7684210823623,-65.1789475330837,"31","Alabama",13,865,6169.4767286,7.13234303884393,60.7558138,474.575132969231,13.25581392,0.905263160181717,0,0.60465116,155,NA
2012,8,"Ala","AJ McCarron",14,49,4.34285716,0.310204082857143,0.0886297379591837,1.08571429,0,0,0,NA,0,0,"QB",190.325715037,314,229.08571519,0.421822391535107,3184.40001257,227.457143755,13.9004739336493,32.5714287,2.76315788382964,20.2631578147507,-149.210525726801,"31","Alabama",14,898,6771.60002673,7.5407572680735,77.08571459,483.685716195,14.11428577,0.921052627943213,0,0.58571429,155,NA
2004,521,"OK St","Al Pena",5,2,-18.328125,-3.665625,-9.1640625,0,0,0,0,NA,0,0,"QB",178.321875,11,7.546875,0.406908171861837,101.34375,20.26875,13.4285714285714,1.078125,0,1.85507246376812,-15.768115942029,"52","Oklahoma St.",12,795,4922.71875,6.19209905660377,54.984375,410.2265625,7.546875,4.63768115942029,0,0.578125,168,NA
2005,521,"OK St","Al Pena",7,35,-9.39320388,-1.34188626857143,-0.268377253714286,2.08737864,0,0,0,NA,0,0,"QB",106.143203844,179,92.88834948,0.341641521814574,1150.14563064,164.306518662857,12.3820224719101,8.34951456,12.4558139581231,9.58139535240238,-90.0651163125824,"92","Oklahoma St.",11,754,3729.10194036,4.94575854159151,28.17961164,339.009267305455,4.17475728,6.70697674668167,0,0.54368932,168,NA
2009,204,"EMU","Alex Gillett",9,95,443.98424972,49.3315833022222,4.67351841810526,1.83464566,0,0,0,NA,0,0,"QB",85.677952322,137,62.37795244,0.312862840031281,699.91731929,77.7685910322222,11.2205882352941,2.75196849,7.63090132619941,11.9914163697419,-68.6781119357947,"116","Eastern Mich.",12,748,3063.8582522,4.09606718208556,22.01574792,255.321521016667,0,13.0815451306276,0,0.41732283,195,NA
2010,204,"EMU","Alex Gillett",12,179,545.93077145,45.4942309541667,3.04989257793296,4.73076925,0,0,0,NA,0,0,"QB",116.093077395,229,120.16153895,0.34414311298819,1545.06923705,128.755769754167,12.8582677165354,12.30000005,13.739837342521,23.2520324258047,-157.479674156587,"91","Eastern Mich.",12,793,3785.56155385,4.77372200989912,29.33076935,315.463462820833,1.8923077,10.5691056480931,0,0.44615385,195,NA
